distance_km,time_of_day,day_of_week,traffic_level,weather,area_type,driver_response_time_mins,available_ambulances_nearby,delay_minutes,delay_risk
28.34,15,2,Medium,Fog,Urban,3.9,0,172.1,Severe Delay
10.37,9,2,Low,Clear,Urban,2.3,3,15.1,Severe Delay
16.04,9,4,Low,Clear,Urban,2.0,1,26.6,Severe Delay
21.39,13,4,Medium,Clear,Urban,4.2,1,34.2,Severe Delay
11.55,19,0,Medium,Rain,Suburban,4.3,3,38.7,Severe Delay
29.18,9,4,High,Clear,Suburban,1.5,0,246.9,Severe Delay
28.91,9,6,Low,Clear,Suburban,1.9,0,62.9,Severe Delay
8.3,10,5,High,Clear,Urban,4.2,0,60.8,Severe Delay
15.42,22,2,High,Clear,Suburban,0.9,0,84.1,Severe Delay
9.73,1,4,Low,Rain,Rural,2.0,2,1.4,No Delay
9.26,19,0,Medium,Clear,Urban,2.5,3,28.0,Severe Delay
2.07,7,3,Medium,Clear,Urban,1.3,3,3.7,Moderate Delay
18.68,22,5,High,Clear,Suburban,1.3,3,55.4,Severe Delay
15.58,6,4,Medium,Clear,Suburban,2.4,0,34.0,Severe Delay
2.49,7,2,Medium,Clear,Urban,3.9,0,14.2,Severe Delay
9.08,0,3,Medium,Clear,Suburban,4.3,1,10.1,Severe Delay
27.34,20,6,Low,Clear,Suburban,4.9,2,0.0,No Delay
7.95,1,2,Low,Snow,Rural,0.8,3,5.9,Moderate Delay
5.2,17,3,Medium,Clear,Urban,1.5,2,13.1,Severe Delay
15.19,14,6,Medium,Clear,Suburban,3.9,3,10.8,Severe Delay
29.58,0,6,Medium,Clear,Urban,2.9,0,97.6,Severe Delay
8.02,4,5,Medium,Clear,Suburban,2.0,0,21.4,Severe Delay
20.49,1,2,Low,Fog,Suburban,1.4,3,19.9,Severe Delay
23.09,19,4,Medium,Clear,Urban,1.8,4,70.6,Severe Delay
7.89,2,4,Low,Clear,Rural,2.4,0,7.2,Moderate Delay
22.12,18,0,High,Rain,Urban,1.3,1,199.3,Severe Delay
11.67,17,3,High,Clear,Suburban,4.8,0,100.3,Severe Delay
19.34,21,0,Medium,Clear,Urban,1.0,1,30.0,Severe Delay
19.37,17,1,Low,Clear,Suburban,4.9,2,18.6,Severe Delay
16.54,13,4,Low,Clear,Urban,4.3,0,28.9,Severe Delay
3.62,23,3,Medium,Rain,Rural,2.4,0,11.5,Severe Delay
25.22,7,5,Medium,Clear,Rural,3.8,2,34.3,Severe Delay
10.3,11,0,Medium,Clear,Rural,3.5,1,2.3,No Delay
6.41,20,5,Low,Clear,Urban,1.5,4,5.6,Moderate Delay
2.18,9,5,Medium,Clear,Suburban,2.0,1,6.5,Moderate Delay
18.14,22,5,Medium,Snow,Urban,2.8,3,80.9,Severe Delay
20.65,19,0,Low,Clear,Rural,3.4,3,4.4,Moderate Delay
1.48,16,1,Medium,Snow,Suburban,2.9,3,2.6,No Delay
15.85,10,6,Low,Clear,Suburban,2.6,2,1.5,No Delay
7.57,1,6,Medium,Rain,Suburban,2.5,1,14.7,Severe Delay
19.71,3,0,High,Clear,Urban,2.7,0,138.8,Severe Delay
6.06,0,6,Medium,Clear,Suburban,2.5,3,7.9,Moderate Delay
21.04,14,2,High,Fog,Urban,2.9,1,148.7,Severe Delay
12.22,12,6,Medium,Fog,Rural,4.5,0,39.8,Severe Delay
28.17,7,4,Low,Clear,Rural,3.3,1,6.8,Moderate Delay
4.99,3,0,Medium,Clear,Suburban,3.8,2,5.8,Moderate Delay
10.89,9,6,Medium,Clear,Rural,3.2,3,15.8,Severe Delay
4.29,18,0,Low,Snow,Urban,3.4,4,14.2,Severe Delay
27.82,17,1,Low,Clear,Rural,3.1,3,4.7,Moderate Delay
26.44,4,2,Medium,Rain,Urban,0.6,3,72.2,Severe Delay
8.48,18,0,Low,Rain,Suburban,5.0,2,15.2,Severe Delay
20.14,22,4,Low,Rain,Suburban,0.7,0,41.5,Severe Delay
24.7,21,6,Medium,Clear,Urban,2.3,3,36.4,Severe Delay
17.1,15,4,Low,Clear,Urban,1.0,0,29.2,Severe Delay
16.36,0,6,High,Snow,Urban,0.9,0,233.1,Severe Delay
8.01,11,0,Low,Rain,Rural,4.1,2,0.0,No Delay
3.7,23,5,Medium,Rain,Urban,2.4,3,6.4,Moderate Delay
27.02,1,6,Medium,Clear,Suburban,4.1,2,28.9,Severe Delay
27.11,20,5,Medium,Rain,Suburban,1.7,2,49.5,Severe Delay
19.36,7,2,Low,Clear,Urban,1.7,4,23.7,Severe Delay
10.83,17,4,High,Clear,Urban,1.6,2,70.2,Severe Delay
11.13,15,5,Medium,Rain,Suburban,3.3,4,21.1,Severe Delay
22.05,4,4,High,Clear,Urban,4.2,0,155.5,Severe Delay
27.02,21,6,Low,Rain,Suburban,2.5,0,52.2,Severe Delay
26.73,12,6,Low,Clear,Urban,2.2,1,17.4,Severe Delay
23.62,18,2,Medium,Clear,Urban,4.9,1,73.3,Severe Delay
19.62,2,6,Low,Clear,Suburban,1.0,0,20.9,Severe Delay
3.44,7,2,Medium,Clear,Urban,2.7,3,8.7,Moderate Delay
5.69,11,5,Low,Clear,Rural,2.3,1,0.8,No Delay
27.06,1,6,Medium,Rain,Rural,0.9,2,29.3,Severe Delay
18.59,10,0,High,Fog,Urban,1.7,1,128.3,Severe Delay
1.27,11,3,Medium,Clear,Urban,0.6,0,3.9,Moderate Delay
3.94,17,1,High,Clear,Urban,4.4,3,26.1,Severe Delay
20.24,12,3,Medium,Rain,Urban,3.2,0,100.7,Severe Delay
1.15,4,3,Medium,Rain,Suburban,4.2,3,0.4,No Delay
5.66,21,4,High,Rain,Rural,2.8,1,16.3,Severe Delay
16.91,11,2,High,Rain,Urban,3.2,2,98.5,Severe Delay
21.06,1,4,Medium,Clear,Urban,3.7,2,34.8,Severe Delay
19.91,4,5,Low,Clear,Urban,4.6,0,33.1,Severe Delay
7.5,6,1,Medium,Clear,Urban,0.9,3,8.9,Moderate Delay
21.65,23,5,Low,Clear,Suburban,2.0,1,0.0,No Delay
7.88,11,0,Medium,Rain,Suburban,3.7,3,16.8,Severe Delay
10.44,15,1,Medium,Clear,Urban,4.8,3,15.9,Severe Delay
22.65,22,4,High,Snow,Urban,4.9,3,199.7,Severe Delay
19.84,7,6,High,Fog,Rural,3.4,1,132.2,Severe Delay
25.63,8,6,Medium,Fog,Urban,1.4,3,138.0,Severe Delay
20.07,14,4,Low,Snow,Rural,1.0,2,17.4,Severe Delay
17.48,4,5,High,Clear,Urban,4.8,0,123.8,Severe Delay
3.72,12,4,Low,Fog,Rural,2.5,4,0.0,No Delay
11.66,4,4,Medium,Clear,Suburban,1.4,3,11.4,Severe Delay
8.69,10,3,Low,Clear,Urban,4.7,2,1.1,No Delay
8.08,9,0,Low,Rain,Rural,1.0,2,8.5,Moderate Delay
29.22,19,6,High,Clear,Suburban,3.8,0,247.0,Severe Delay
12.4,12,3,Low,Snow,Urban,3.3,0,54.7,Severe Delay
26.87,8,4,Medium,Rain,Urban,0.9,4,124.1,Severe Delay
19.3,20,2,Low,Rain,Suburban,2.0,4,12.7,Severe Delay
24.05,13,3,High,Clear,Suburban,1.2,4,74.1,Severe Delay
15.58,17,4,High,Rain,Suburban,3.2,1,114.1,Severe Delay
17.73,14,6,Low,Clear,Suburban,2.6,1,0.1,No Delay
15.28,9,4,Low,Fog,Suburban,0.5,2,37.8,Severe Delay
6.66,23,0,Medium,Clear,Suburban,4.9,0,17.0,Severe Delay
21.95,6,5,Low,Rain,Suburban,2.1,3,15.8,Severe Delay
9.14,7,1,Medium,Clear,Urban,1.7,0,50.8,Severe Delay
1.71,2,3,Low,Clear,Rural,1.5,1,1.0,No Delay
19.72,14,3,Low,Clear,Urban,1.2,2,7.0,Moderate Delay
6.14,15,3,Medium,Clear,Urban,5.0,3,12.5,Severe Delay
28.27,3,4,Low,Rain,Suburban,1.8,4,19.3,Severe Delay
28.66,20,0,High,Clear,Urban,2.3,4,114.2,Severe Delay
27.53,5,4,Low,Clear,Urban,4.4,1,11.3,Severe Delay
11.73,0,4,Low,Clear,Urban,3.4,2,2.8,No Delay
1.45,3,5,High,Clear,Suburban,2.2,0,9.8,Moderate Delay
27.92,10,2,Medium,Clear,Rural,4.5,1,12.8,Severe Delay
13.42,11,0,Medium,Fog,Suburban,3.9,0,61.3,Severe Delay
29.03,4,3,Low,Clear,Suburban,1.5,3,4.3,Moderate Delay
28.94,22,1,Medium,Clear,Urban,3.4,0,99.2,Severe Delay
25.74,20,3,Medium,Clear,Urban,4.7,3,40.7,Severe Delay
9.54,15,4,Low,Clear,Urban,2.7,2,6.2,Moderate Delay
12.17,12,0,High,Clear,Urban,3.8,1,47.6,Severe Delay
25.68,12,6,Medium,Clear,Urban,4.9,0,89.9,Severe Delay
10.19,16,0,Low,Rain,Urban,3.6,2,9.1,Moderate Delay
5.92,6,0,Medium,Clear,Urban,1.0,2,9.0,Moderate Delay
17.15,7,2,Medium,Clear,Suburban,1.6,0,73.6,Severe Delay
28.15,12,3,Low,Clear,Rural,3.2,4,0.0,No Delay
21.18,22,2,Medium,Rain,Rural,1.7,4,22.2,Severe Delay
17.53,15,6,Low,Snow,Suburban,4.8,3,27.1,Severe Delay
3.82,3,6,Medium,Clear,Urban,2.3,2,5.0,Moderate Delay
18.84,7,5,Medium,Snow,Suburban,2.6,1,103.8,Severe Delay
29.71,15,1,Medium,Clear,Urban,3.7,1,50.4,Severe Delay
5.06,20,5,High,Clear,Suburban,2.9,2,16.0,Severe Delay
16.03,9,4,Low,Clear,Suburban,2.2,4,12.6,Severe Delay
26.44,11,2,Medium,Clear,Suburban,0.8,2,28.0,Severe Delay
22.48,11,2,Medium,Clear,Rural,3.2,3,8.8,Moderate Delay
21.21,4,5,Medium,Clear,Suburban,4.4,2,19.6,Severe Delay
21.37,15,4,Medium,Clear,Suburban,3.6,0,50.2,Severe Delay
11.43,0,0,Low,Clear,Urban,2.2,4,6.5,Moderate Delay
9.51,8,4,Low,Clear,Rural,1.1,0,8.5,Moderate Delay
24.47,11,3,Low,Clear,Urban,4.2,0,36.1,Severe Delay
24.49,4,5,High,Fog,Rural,4.7,2,99.0,Severe Delay
26.15,21,4,Low,Clear,Urban,2.2,2,10.4,Severe Delay
27.48,19,0,High,Rain,Urban,3.8,1,248.0,Severe Delay
15.83,21,4,Medium,Rain,Rural,2.3,0,41.1,Severe Delay
15.54,23,2,Low,Clear,Urban,2.8,2,7.8,Moderate Delay
24.15,2,1,Medium,Clear,Rural,4.3,1,9.3,Moderate Delay
19.85,4,2,High,Clear,Urban,0.9,0,140.0,Severe Delay
21.36,1,6,High,Clear,Rural,2.9,1,43.1,Severe Delay
24.08,13,1,Low,Clear,Suburban,1.5,4,1.0,No Delay
26.81,1,6,Low,Clear,Suburban,2.0,3,0.4,No Delay
10.8,12,4,Low,Clear,Urban,3.4,0,17.9,Severe Delay
11.89,6,3,Low,Fog,Urban,0.6,2,16.8,Severe Delay
3.73,9,4,Medium,Clear,Rural,3.2,4,5.2,Moderate Delay
17.77,12,0,High,Rain,Urban,1.8,1,104.3,Severe Delay
2.04,15,4,Low,Clear,Urban,3.5,3,0.7,No Delay
14.5,13,1,Medium,Fog,Suburban,1.1,0,68.7,Severe Delay
16.74,10,2,Medium,Clear,Urban,3.8,3,23.0,Severe Delay
9.31,9,3,Low,Clear,Urban,3.4,4,15.7,Severe Delay
18.13,5,6,Low,Snow,Urban,4.9,3,39.3,Severe Delay
1.88,3,4,Medium,Rain,Urban,4.6,0,8.2,Moderate Delay
2.08,20,4,High,Clear,Rural,1.8,4,2.6,No Delay
24.86,0,2,Medium,Clear,Urban,0.6,1,40.4,Severe Delay
11.45,6,3,Low,Rain,Rural,3.4,0,13.5,Severe Delay
4.68,23,5,Low,Fog,Urban,3.2,3,8.8,Moderate Delay
16.15,8,6,Low,Clear,Urban,0.6,0,50.5,Severe Delay
23.33,7,4,Medium,Clear,Suburban,1.1,4,54.8,Severe Delay
7.26,4,4,Medium,Rain,Urban,3.1,3,18.8,Severe Delay
19.06,18,5,Low,Clear,Suburban,4.6,1,13.6,Severe Delay
3.48,9,6,High,Rain,Rural,4.6,2,17.9,Severe Delay
2.5,10,1,Medium,Clear,Urban,1.2,1,1.8,No Delay
16.41,14,1,Medium,Snow,Suburban,2.2,0,99.4,Severe Delay
16.68,5,0,High,Rain,Urban,0.7,2,93.6,Severe Delay
19.49,14,2,Low,Rain,Urban,2.6,4,20.2,Severe Delay
22.06,4,3,High,Clear,Urban,3.9,3,84.9,Severe Delay
29.3,18,4,Low,Clear,Rural,4.1,3,9.4,Moderate Delay
15.97,21,6,Low,Clear,Urban,2.7,4,6.6,Moderate Delay
10.37,18,4,High,Rain,Rural,0.9,0,96.3,Severe Delay
24.06,9,0,High,Rain,Suburban,2.2,1,173.0,Severe Delay
8.85,11,6,Medium,Clear,Urban,4.7,2,16.6,Severe Delay
13.73,21,6,Medium,Rain,Urban,1.5,4,36.5,Severe Delay
3.28,3,4,Medium,Fog,Rural,1.9,0,12.1,Severe Delay
1.74,17,2,High,Clear,Suburban,3.9,0,13.0,Severe Delay
28.92,15,0,Low,Clear,Urban,3.8,2,10.5,Severe Delay
25.24,7,2,High,Rain,Rural,4.6,4,133.3,Severe Delay
21.18,3,0,Medium,Clear,Urban,2.2,1,30.4,Severe Delay
12.86,22,4,Medium,Rain,Rural,2.8,1,13.4,Severe Delay
6.03,11,0,Medium,Clear,Rural,2.6,4,4.0,Moderate Delay
5.54,1,1,Medium,Snow,Suburban,4.7,3,17.9,Severe Delay
8.26,3,6,High,Clear,Rural,4.0,1,15.0,Severe Delay
16.93,4,3,Medium,Clear,Suburban,4.2,3,16.2,Severe Delay
21.72,2,4,High,Clear,Suburban,1.1,4,66.7,Severe Delay
20.15,8,5,Low,Clear,Suburban,4.1,0,45.1,Severe Delay
9.12,20,3,Medium,Clear,Urban,2.4,4,14.1,Severe Delay
28.69,17,4,High,Clear,Suburban,0.6,0,243.9,Severe Delay
22.4,10,3,Medium,Snow,Urban,0.8,4,102.1,Severe Delay
17.08,2,1,Medium,Snow,Urban,3.6,3,79.1,Severe Delay
18.74,22,3,Medium,Clear,Urban,2.2,3,29.0,Severe Delay
13.17,1,0,High,Rain,Urban,4.4,4,76.2,Severe Delay
8.18,8,3,High,Clear,Urban,3.8,0,89.2,Severe Delay
11.32,13,4,Low,Fog,Rural,0.6,4,5.6,Moderate Delay
22.98,3,5,High,Rain,Urban,3.6,0,220.1,Severe Delay
1.42,8,5,Medium,Clear,Suburban,1.4,3,1.3,No Delay
4.37,12,2,Low,Rain,Urban,2.4,2,3.2,Moderate Delay
2.33,17,6,High,Rain,Urban,3.3,1,20.0,Severe Delay
2.18,14,3,Medium,Clear,Urban,4.4,3,4.2,Moderate Delay
25.81,9,5,High,Snow,Urban,2.6,4,342.4,Severe Delay
21.41,15,3,Low,Snow,Suburban,4.1,4,34.1,Severe Delay
14.75,11,6,Low,Clear,Suburban,4.0,0,16.1,Severe Delay
3.84,19,5,Medium,Rain,Urban,2.4,1,19.7,Severe Delay
15.26,4,6,Low,Snow,Urban,2.8,3,38.4,Severe Delay
14.73,1,3,Medium,Clear,Rural,3.7,1,8.2,Moderate Delay
6.02,9,4,Low,Clear,Urban,0.6,1,6.7,Moderate Delay
13.58,0,3,Medium,Clear,Urban,4.5,3,18.8,Severe Delay
12.56,6,6,Low,Fog,Suburban,4.0,0,30.1,Severe Delay
18.86,16,4,Low,Rain,Urban,1.6,0,50.9,Severe Delay
19.42,15,4,Medium,Clear,Rural,4.9,0,29.6,Severe Delay
2.31,23,2,Low,Snow,Suburban,1.3,2,0.4,No Delay
11.86,2,5,Medium,Rain,Urban,4.6,1,29.4,Severe Delay
19.15,13,0,High,Fog,Urban,2.0,2,140.1,Severe Delay
15.59,9,4,Medium,Clear,Suburban,3.9,0,66.6,Severe Delay
25.84,21,6,High,Clear,Urban,2.6,3,107.0,Severe Delay
20.1,6,5,Low,Rain,Rural,3.8,1,1.1,No Delay
5.73,16,1,Low,Clear,Suburban,1.2,3,1.6,No Delay
3.05,5,3,High,Rain,Urban,1.7,4,17.4,Severe Delay
19.63,22,6,Medium,Fog,Suburban,0.9,1,49.1,Severe Delay
1.77,21,1,Medium,Clear,Urban,4.4,3,4.4,Moderate Delay
17.99,3,6,Medium,Fog,Urban,1.8,0,108.9,Severe Delay
28.27,16,3,Medium,Clear,Suburban,3.6,2,25.9,Severe Delay
17.69,8,2,Low,Clear,Suburban,4.2,3,12.5,Severe Delay
12.26,3,6,Medium,Clear,Suburban,4.6,4,10.6,Severe Delay
19.66,6,4,Medium,Clear,Urban,1.0,0,67.0,Severe Delay
14.29,22,0,Medium,Clear,Suburban,4.5,4,10.5,Severe Delay
16.82,1,4,High,Fog,Urban,1.4,2,118.4,Severe Delay
28.3,16,3,Low,Rain,Suburban,3.8,4,19.5,Severe Delay
12.2,23,6,Low,Clear,Suburban,3.8,3,0.0,No Delay
28.87,7,0,High,Rain,Suburban,0.5,3,203.7,Severe Delay
27.26,22,4,Medium,Clear,Rural,1.5,0,47.6,Severe Delay
6.68,14,0,Medium,Clear,Rural,2.7,2,5.6,Moderate Delay
3.01,14,3,Low,Rain,Rural,2.4,2,1.1,No Delay
3.92,7,2,Low,Rain,Rural,4.6,1,2.1,No Delay
1.53,15,2,Medium,Rain,Suburban,2.1,1,4.1,Moderate Delay
3.74,18,6,Low,Clear,Rural,4.7,3,0.0,No Delay
20.81,10,4,High,Rain,Rural,2.6,4,63.9,Severe Delay
3.06,1,1,High,Rain,Suburban,4.8,4,14.7,Severe Delay
10.25,22,3,High,Snow,Urban,3.8,0,144.6,Severe Delay
25.5,23,4,Low,Clear,Urban,4.2,2,6.2,Moderate Delay
1.67,16,4,Medium,Clear,Rural,1.0,3,1.8,No Delay
24.62,15,2,Low,Rain,Urban,3.1,4,30.5,Severe Delay
9.17,14,6,Low,Snow,Rural,1.1,1,9.4,Moderate Delay
